id,cpu,mem,degree,is_anomaly
0,72.48357076505616,69.30867849414408,7,0
1,73.23844269050346,77.61514928204012,7,0
2,48.82923312638332,48.8293152152541,5,0
3,67.89606407753696,63.837173645764544,6,0
4,17.65262807032524,22.712800217929825,2,0
5,27.682911535937688,27.671351232148716,3,0
6,61.20981135783017,50.43359877671101,6,0
7,51.375410837434835,57.188562353795135,6,0
8,44.93584439832788,51.57123666297637,5,0
9,35.45987962239394,32.93848149332354,4,0
10,57.32824384460777,48.87111849756732,5,0
11,50.337641023439616,42.87625906893272,5,0
12,7.278086377374087,10.55461294854933,1,1
13,44.24503211288849,51.87849009172836,5,0
14,16.996806550405974,18.541531251033618,2,0
15,95.0,90.0,4,1
16,59.93251387631033,54.7114453552205,6,0
17,44.11272456051594,33.89578175014489,4,1
18,21.044317975023777,10.201649380601122,2,0
19,33.359069755507846,40.984306179345616,4,0
20,53.69233289997705,50.85684140594985,5,0
21,69.4217585880588,68.49448152205356,7,0
22,52.60739004816286,56.40077895802646,6,0
23,47.696806145201066,55.285611131094576,5,0
24,51.718091447842305,41.18479922318633,5,0
25,51.620419846973974,48.07458859791842,5,0
26,95.0,90.0,2,1
27,35.154997612479754,34.65640059558099,3,0
28,35.80391238388681,38.45393812074393,4,0
29,51.65631715701782,54.877725635611796,5,0
30,27.60412881077355,29.071705116680914,3,0
31,64.46832512996986,64.01896687959665,7,0
32,54.06262911197099,56.78120014285412,5,0
33,79.63994939209833,85.01766448946012,8,0
34,41.808180125238174,36.774401226974376,4,0
35,41.80697802754207,47.690182832329846,4,0
36,29.820869804450243,37.82321827907003,3,0
37,26.901274479551276,44.10951252187612,4,0
38,70.43523534119086,68.50496324767066,7,0
39,90.45880388267751,80.06215542699553,9,0
40,48.90164056081244,51.78556285755873,5,0
41,95.0,90.0,6,1
42,35.95753198553406,37.491214782077314,4,0
43,44.57701058851037,41.64375554829842,4,0
44,37.351198981164806,42.56633716556678,4,0
45,10.485387746740201,14.843224952664446,1,0
46,26.489734530613237,28.361689267011158,3,0
47,48.03945923433921,42.68242525933941,5,0
48,41.48060138532288,41.30527636089945,4,0
49,60.025567283212304,58.82706433312426,6,0
